geometry,amenity
POINT (-87.5878505 41.7949324),restaurant
POINT (-87.5876046 41.7998148),cafe
POINT (-87.7880806 41.9583291),cafe
POINT (-87.6243199 41.8670718),restaurant
POINT (-87.6595045 41.9727857),restaurant
POINT (-87.909984 41.9804812),restaurant
POINT (-87.6406478 41.8823865),bar
POINT (-87.680526 41.9175718),restaurant
POINT (-87.6882137 41.9683849),restaurant
POINT (-87.6881248 41.9682396),restaurant
POINT (-87.6180984 41.8921642),cafe
POINT (-87.6264363 41.8926488),restaurant
POINT (-87.7055174 41.944524),bar
POINT (-87.6978085 41.9233284),cafe
POINT (-87.7010478 41.9253484),bar
POINT (-87.6983641 41.9237455),restaurant
POINT (-87.659943 41.9511963),restaurant
POINT (-87.6974778 41.921848),bar
POINT (-87.6971023 41.91902),cafe
POINT (-87.6966658 41.9018656),restaurant
POINT (-87.6984206 41.9173555),restaurant
POINT (-87.5646581 41.7644416),cafe
POINT (-87.6312859 41.8901616),cafe
POINT (-87.6242243 41.8865103),restaurant
POINT (-87.6259485 41.8873013),restaurant
POINT (-87.627223 41.8866171),restaurant
POINT (-87.6265173 41.8863702),restaurant
POINT (-87.6255717 41.8830968),cafe
POINT (-87.6259327 41.8826872),restaurant
POINT (-87.6281296 41.8830549),restaurant
POINT (-87.6282313 41.8859644),restaurant
POINT (-87.6277289 41.8862145),restaurant
POINT (-87.6277082 41.8858946),cafe
POINT (-87.6286906 41.8858837),restaurant
POINT (-87.6283739 41.8707557),restaurant
POINT (-87.6496329 41.9579418),cafe
POINT (-87.6433416 41.8970504),restaurant
POINT (-87.6408171 41.9108855),restaurant
POINT (-87.806711 41.9812402),restaurant
POINT (-87.6391068 41.8821839),cafe
POINT (-87.6409831 41.8821339),restaurant
POINT (-87.707174 41.929118),restaurant
POINT (-87.6611959 41.9399693),restaurant
POINT (-87.6814947 41.6921699),restaurant
POINT (-87.6814651 41.6920635),bar
POINT (-87.6813817 41.6907439),bar
POINT (-87.6366164 41.9169091),restaurant
POINT (-87.647886 41.9328768),restaurant
POINT (-87.653186 41.9284346),bar
POINT (-87.5605825 41.7591882),restaurant
POINT (-87.584784 41.7951291),restaurant
POINT (-87.6516908 41.9277243),bar
POINT (-87.6487203 41.9189763),restaurant
POINT (-87.6883735 41.9680873),restaurant
POINT (-87.6685295 41.9779031),restaurant
POINT (-87.6685161 41.9781363),cafe
POINT (-87.632568 41.87833),
POINT (-87.7033678 41.954188),bar
POINT (-87.7017101 41.954188),restaurant
POINT (-87.6887215 41.9546765),restaurant
POINT (-87.7007293 41.9464438),restaurant
POINT (-87.7047186 41.9537738),restaurant
POINT (-87.702057 41.9537838),cafe
POINT (-87.7060785 41.9537639),restaurant
POINT (-87.6991711 41.9536402),restaurant
POINT (-87.6986616 41.954379),restaurant
POINT (-87.6684939 41.9783825),restaurant
POINT (-87.668561 41.9765959),bar
POINT (-87.6685369 41.9772838),restaurant
POINT (-87.6688473 41.9781128),restaurant
POINT (-87.6690982 41.9856401),restaurant
POINT (-87.6591837 41.9691542),bar
POINT (-87.5963823 41.780362),cafe
POINT (-87.628104 41.8992835),cafe
POINT (-87.6280907 41.8984675),cafe
POINT (-87.6288681 41.9038102),restaurant
POINT (-87.6551375 41.9739873),restaurant
POINT (-87.6708279 41.9031202),restaurant
POINT (-87.6748447 41.9085022),restaurant
POINT (-87.6776917 41.9097388),cafe
POINT (-87.6746231 41.9083871),restaurant
POINT (-87.6785386 41.9112092),restaurant
POINT (-87.6716054 41.9064474),restaurant
POINT (-87.6357331 41.8900946),restaurant
POINT (-87.6261491 41.8716402),cafe
POINT (-87.6304581 41.8734221),bar
POINT (-87.5668877 41.7690036),restaurant
POINT (-87.9102426 41.9783788),bar
POINT (-87.7022372 41.7788191),restaurant
POINT (-87.622591 41.8939959),cafe
POINT (-87.6899119 42.0084448),restaurant
POINT (-87.6974958 41.9220029),restaurant
POINT (-87.6296654 41.8776265),bar
POINT (-87.6510355 41.858141),bar
POINT (-87.6667991 41.8863874),bar
POINT (-87.702239 41.8447326),restaurant
POINT (-87.6294588 41.8739784),restaurant
POINT (-87.7104473 41.9307708),bar
POINT (-87.6465719 41.9181092),restaurant
POINT (-87.5666712 41.7657039),restaurant
POINT (-87.5650854 41.7648353),bar
POINT (-87.5699857 41.766396),restaurant
POINT (-87.7336633 41.9533928),restaurant
POINT (-87.7333409 41.9534071),cafe
POINT (-87.5777724 41.7659637),restaurant
POINT (-87.624603 41.8907486),restaurant
POINT (-87.6248168 41.8895178),cafe
POINT (-87.6247284 41.8931299),restaurant
POINT (-87.6260613 41.9006352),restaurant
POINT (-87.6280701 41.8989901),cafe
POINT (-87.6350816 41.8791383),restaurant
POINT (-87.6329633 41.8535449),restaurant
POINT (-87.6489162 41.8836965),restaurant
POINT (-87.649045 41.8836495),restaurant
POINT (-87.6790803 41.9718542),restaurant
POINT (-87.7069536 41.9289586),bar
POINT (-87.6085962 41.8913274),bar
POINT (-87.6490889 41.9383791),restaurant
POINT (-87.6236887 41.8989156),cafe
POINT (-87.6333876 41.8945543),cafe
POINT (-87.6481992 41.9137104),restaurant
POINT (-87.6482025 41.9136386),restaurant
POINT (-87.6485512 41.9136875),restaurant
POINT (-87.648199 41.9134372),restaurant
POINT (-87.6529319 41.9135185),restaurant
POINT (-87.6471628 41.9353036),restaurant
POINT (-87.668588 41.9760509),cafe
POINT (-87.7190481 41.9170988),bar
POINT (-87.6215867 41.8862551),cafe
POINT (-87.6208409 41.8932431),restaurant
POINT (-87.6187471 41.8924751),cafe
POINT (-87.7085498 41.9296241),restaurant
POINT (-87.7072052 41.9298264),restaurant
POINT (-87.7072122 41.929915),cafe
POINT (-87.7087557 41.929747),cafe
POINT (-87.7046187 41.9275483),restaurant
POINT (-87.6982559 41.9176933),restaurant
POINT (-87.7072038 41.9172774),restaurant
POINT (-87.7075819 41.9172729),restaurant
POINT (-87.7195852 41.9173772),restaurant
POINT (-87.7111814 41.9248415),restaurant
POINT (-87.7158349 41.9343813),restaurant
POINT (-87.7152636 41.9337049),restaurant
POINT (-87.713791 41.9333478),restaurant
POINT (-87.7163315 41.9393459),bar
POINT (-87.7300074 41.9427119),restaurant
POINT (-87.7223584 41.931975),restaurant
POINT (-87.6772965 41.909438),restaurant
POINT (-87.6775907 41.9090451),bar
POINT (-87.6774009 41.9028218),bar
POINT (-87.6847129 41.915257),bar
POINT (-87.6847822 41.9149624),restaurant
POINT (-87.6972374 41.9128303),restaurant
POINT (-87.6777367 41.9152965),bar
POINT (-87.6767615 41.9101151),restaurant
POINT (-87.6776111 41.9100107),cafe
POINT (-87.6776173 41.9096809),bar
POINT (-87.6993927 41.924008),bar
POINT (-87.6978544 41.91811),restaurant
POINT (-87.7241868 41.939013),restaurant
POINT (-87.7090217 41.9248994),restaurant
POINT (-87.6962247 41.924661),restaurant
POINT (-87.6960476 41.924667),restaurant
POINT (-87.6884409 41.9250781),restaurant
POINT (-87.6878723 41.9250761),restaurant
POINT (-87.6246857 41.8884954),
POINT (-87.6678158 41.7187453),
POINT (-87.7155481 41.924331),bar
POINT (-87.7078352 41.9172747),restaurant
POINT (-87.7134313 41.9325834),restaurant
POINT (-87.7071842 41.9293918),cafe
POINT (-87.6871843 41.8998468),restaurant
POINT (-87.6872868 41.8989825),bar
POINT (-87.6866989 41.8986011),bar
POINT (-87.6969684 41.8955111),restaurant
POINT (-87.6851707 41.9182746),bar
POINT (-87.6816046 41.9032845),restaurant
POINT (-87.681508 41.9032905),cafe
POINT (-87.6798752 41.9033003),restaurant
POINT (-87.6795178 41.9033344),restaurant
POINT (-87.6793622 41.902995),restaurant
POINT (-87.6782034 41.9033393),restaurant
POINT (-87.6780426 41.9033504),restaurant
